h1,duplicate_count,urls,page_types,business_priorities,severity
[shop] ​ | morfrac[shop] | tdi.[s],2,https://www.morfrac.com/es/shop/category/powerfurl-tdi-s-23 | https://www.morfrac.com/es/shop/category/powerfurl-tdis-23,product,high,LOW
[shop] ​ | morfrac[shop] | ti-shackle.,2,https://www.morfrac.com/es/shop/category/shackle-24 | https://www.morfrac.com/es/shop/category/ti-shackle-24,product,high,LOW
error 404,2,https://www.morfrac.com/es/solution | https://www.morfrac.com/solution,general,medium,LOW
mloop.[custom],2,https://www.morfrac.com/es/shop/mloop-34/mloop-custom-12674 | https://www.morfrac.com/shop/mloop-34/mloop-custom-12674,product,high,LOW
[shop] | morfrac [shop] | morfblock.[max],2,https://www.morfrac.com/shop/category/morfblock-max-38 | https://www.morfrac.com/shop/category/morfblock-morfblock-ultra-38,product,high,LOW
[shop] | morfrac [shop] | single line,2,https://www.morfrac.com/shop/category/powerfurl-powerfurl-singleline-30 | https://www.morfrac.com/shop/category/powerfurl-single-line-30,product,high,LOW
morfring.[50xl],2,https://www.morfrac.com/es/shop/morfring-26/morfring-50xl-ptfe-friction-ring-12480 | https://www.morfrac.com/shop/morfring-26/morfring-50xl-ptfe-friction-ring-12480,product,high,LOW
morfring.[60],2,https://www.morfrac.com/es/shop/morfring-26/morfring-60-ptfe-friction-ring-12483 | https://www.morfrac.com/shop/morfring-26/morfring-60-ptfe-friction-ring-12483,product,high,LOW
morfring.[70],2,https://www.morfrac.com/es/shop/morfring-26/morfring-70-ptfe-friction-ring-12485 | https://www.morfrac.com/shop/morfring-26/morfring-70-ptfe-friction-ring-12485,product,high,LOW
morfring.[60xl],2,https://www.morfrac.com/es/shop/morfring-26/morfring-60xl-ptfe-friction-ring-12482 | https://www.morfrac.com/shop/morfring-26/morfring-60xl-ptfe-friction-ring-12482,product,high,LOW
morfring.[15],2,https://www.morfrac.com/es/shop/morfring-26/morfring-15-ptfe-friction-ring-12476 | https://www.morfrac.com/shop/morfring-26/morfring-15-ptfe-friction-ring-12476,product,high,LOW
morfring.[30],2,https://www.morfrac.com/es/shop/morfring-26/morfring-30-ptfe-friction-ring-12478 | https://www.morfrac.com/shop/morfring-26/morfring-30-ptfe-friction-ring-12478,product,high,LOW
morfring.[20],2,https://www.morfrac.com/es/shop/morfring-26/morfring-20-ptfe-friction-ring-12477 | https://www.morfrac.com/shop/morfring-26/morfring-20-ptfe-friction-ring-12477,product,high,LOW
morfring.[15] - 10 pack,2,https://www.morfrac.com/es/shop/morfring-26/morfring-15-10pack-friction-ring-12898 | https://www.morfrac.com/shop/morfring-26/morfring-15-10pack-friction-ring-12898,product,high,LOW
morfrac joins the launch of de walle sails,2,https://www.morfrac.com/blog/news-1/morfrac-de-walle-sails-33 | https://www.morfrac.com/es/blog/blog-1/morfrac-de-walle-sails-33,technical_blog,medium,LOW
morfblock.[runner] - custom,2,https://www.morfrac.com/es/shop/custom-33/morfblcok-custom-runners-12664 | https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblcok-custom-runners-12664,product,high,LOW
