url,page_type,business_priority,commercial_relevance,authority_value,authority_cluster,inbound_internal_links,unique_linking_pages,outbound_internal_links,unique_target_pages,total_search_impressions,max_opportunity_score,primary_queries,search_intents,internal_link_graph_score,internal_link_priority
https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-05-performance-sailing-block-12342,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-xl-01-high-load-sailing-block-12364,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-xl-01-performance-sailing-block-12366,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-xl-02-high-load-sailing-block-12372,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-15-10pack-friction-ring-12898,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-15-ptfe-friction-ring-12476,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-20-ptfe-friction-ring-12477,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-30-ptfe-friction-ring-12478,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-40-ptfe-friction-ring-12479,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-50-ptfe-friction-ring-12481,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-50xl-ptfe-friction-ring-12480,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-60-ptfe-friction-ring-12483,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-60xl-12828,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-60xl-ptfe-friction-ring-12482,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-70-ptfe-friction-ring-12485,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfring-26/morfring-70xl-ptfe-friction-ring-12484,product,high,high,high,morfring,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-ring-20-15-stick-on-padeye-ring-12652,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-ring-20-20-stick-on-padeye-ring-12654,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-ring-20-30-stick-on-padeye-ring-12653,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-stick-20-stick-on-padeye-12650,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-stick-40-stick-on-padeye-12651,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-through-1-5t-through-deck-padeye-12640,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-through-3t-through-deck-padeye-12649,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/padeye-27/padeye-through-6t-through-deck-padeye-12655,product,high,high,high,padeye,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/ti-shackle-24/powerfurl-six-ti-shackle-12541,product,high,high,high,shackle,4.0,4.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/ti-shackle-24/powerfurl-three-ti-shackle-12575,product,high,high,high,shackle,4.0,4.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/ti-shackle-24/powerfurl6-shackle10-12826,product,high,high,high,shackle,4.0,4.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/ti-shackle-24/ti-shackle-grade5-titanium-shackle-12526,product,high,high,high,shackle,4.0,4.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-light-0-5-sailing-block-12322,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/page/2,product,high,high,high,other,4.0,4.0,81.0,81.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-one-drum-bottom-furling-unit-12529,product,high,high,high,powerfurl,3.0,3.0,43.0,43.0,0.0,0.0,,,135.0,CRITICAL
