source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
intent,commercial,intent,technical,product_related_to_product,44,44
intent,technical,intent,commercial,product_related_to_product,44,44
product_family,morfblock,engineering_concept,swl,general_internal_link,44,44
product_family,padeye,product_family,shackle,general_internal_link,44,44
material,dyneema,application,custom_engineering,product_links_to_parent,22,44
material,dyneema,engineering_concept,customizable,product_links_to_parent,22,44
product_family,shackle,application,furling_systems,product_links_to_parent,22,44
product_family,shackle,engineering_concept,lightweight,product_links_to_parent,22,44
product_family,shackle,engineering_concept,low_friction,product_links_to_parent,22,44
product_family,shackle,intent,support,product_links_to_parent,22,44
product_family,shackle,material,stainless_steel,product_links_to_parent,22,44
application,sheet_handling,application,rope_management,category_supports_product,11,44
engineering_concept,breaking_load,application,rope_management,category_supports_product,11,44
intent,brand,application,soft_connection,category_supports_product,11,44
intent,commercial,application,soft_connection,category_supports_product,11,44
product_family,morfblock,application,rope_management,category_supports_product,11,44
application,sail_handling,engineering_concept,swl,general_internal_link,43,43
engineering_concept,marine_hardware,product_family,padeye,general_internal_link,43,43
material,stainless_steel,engineering_concept,breaking_load,general_internal_link,43,43
product_family,mloop,application,sail_handling,general_internal_link,43,43
product_family,mreel,product_family,powerfurl,general_internal_link,43,43
application,low_friction_rigging,engineering_concept,high_load,product_related_to_product,42,42
